season_number,episode_number,episode_name,episode_description
1,1,Where Is Everybody?,"Mike Ferris finds himself alone in the small Oakwood town and without recollection about his name, where he is or who he is. Mike wanders through the town trying to find a living soul. The tension increases and Mike has a breakdown."
1,2,One for the Angels,A pitchman is visited by Mr. Death and is forced to get his priorities in order.
1,3,Mr. Denton on Doomsday,The town drunk in the old-west faces his past when Fate lends a hand.
1,4,The Sixteen-Millimeter Shrine,"Barbara Jean Trenton is a faded film star who lives in the past by constantly re-watching her old movies instead of moving on with her life, so her associates try to lure her out of her self-imposed isolation."
1,5,Walking Distance,"A man, fed up with where he's at in life, finds himself not only in his old hometown, but back to the time when he was a boy."
1,6,Escape Clause,"A hypochondriac man sells his soul to the devil, exchanging it for several thousand years of immortality."
1,7,The Lonely,"A convict, living alone on an asteroid, receives from the police a realistic woman-robot."
1,8,Time Enough at Last,A henpecked book lover finds himself blissfully alone with his books after a nuclear war.
1,9,Perchance to Dream,"A fatigued man fights to stay awake as he explains to a psychiatrist that if he falls asleep it will trigger a nightmare, which will cause his heart to fail."
1,10,Judgment Night,"It's 1942, and a man finds himself on a ship in the Atlantic, not knowing who he is, nor how he got there. He does know the ship will soon be attacked by a German U-boat."
1,11,And When the Sky Was Opened,Three astronauts return to Earth after seemingly having made an encounter that dooms them and their craft to erasure from existence itself.
1,12,What You Need,A small time crook plans to exploit an old street peddler who has the uncanny knack of selling people exactly what they will shortly need.
1,13,The Four of Us Are Dying,"A man who can change his face to look like other people uses his ability to improve his life, regardless of his effect on others."
1,14,Third from the Sun,Two families of Government employees plan to steal a spaceship and travel to another planet just prior to a nuclear war. They must also deal with a stooge who wants to stop them.
1,15,I Shot an Arrow into the Air,Order breaks down between three surviving crewmen whose rocket ship crashes on an unknown world with limited water and supplies.
1,16,The Hitch-Hiker,"A young woman driving cross-country becomes frantic when she keeps passing the same man on the side of the road. No matter how fast she drives, the man is always up ahead, hitching her for a ride."
1,17,The Fever,A middle-aged man catches gambling fever from a slot machine that he believes is calling his name.
1,18,The Last Flight,A World War I British fighter pilot lands at an American air base in 1959 France.
1,19,The Purple Testament,"A U.S. Army lieutenant serving in the Philippines during WWII develops a harrowing ability to see in the faces of the men of his platoon, the men who will be the next ones to die."
1,20,Elegy,"Three astronauts touch down on an asteroid, where they discover a world of people that appear to be frozen in time. Confused, they theorize as to why everyone is motionless, until a man springs to life and explains."
1,21,Mirror Image,"While waiting in a bus station, Millicent Barnes has the strange feeling that her doppelganger is trying to take over her life."
1,22,The Monsters Are Due on Maple Street,"On a peaceful suburban street, strange occurrences and mysterious people stoke the residents' paranoia to a disastrous intensity."
1,23,A World of Difference,"A businessman sitting in his office inexplicably finds that he is on a production set and in a world where he is a movie star. Uninterested in the newfound fame, he fights to get back to his home and family."
1,24,Long Live Walter Jameson,A father forbids a history professor from marrying his daughter when he discovers that the captivating lecturer is actually an immortal who has lived for thousands of years.
1,25,People Are Alike All Over,"Fearing the worst, the lone survivor of a crash-landing on Mars finds the native inhabitants, to his relief, very hospitable indeed, but there's a catch."
1,26,Execution,"When a 20th-century scientist tests out his time machine he accidentally retrieves a murderer from 1880, saving him from the hangman's noose. Unaware of the man's history, the scientist attempts to acclimatize him to his new surroundings."
